MSI_DO_YOU_AGREE	동의 하십니까?
MSI_CHECK_ATTENDANCE_CHECK_AFTER	%d일차 출석 성공!
MSI_CHECK_ATTENDANCE_DDAY	D-day
MSI_DATE_DAY	일
MSI_CHECK_ATTENDANCE_FAIL_RESTART	출석체크에 실패하였습니다. 다시 실행해주세요.
MSI_CHECK_ATTENDANCE	출석체크
MSI_CHECK_ATTENDANCE_NOT_EVENT	현재 출석체크 이벤트 기간이 아닙니다
MSI_CAN_NOT_OFFER_EXP_TO_GUILD_MAX_LV	길드 상납 경험치가 max에 도달하여, 더 이상 길드 경험치를 누적할 수 없습니다.
MSI_CAN_NOT_OFFER_EXP_TO_GUILD_MAX_EXP	개인 상납 경험치가 max에 도달하여, 더 이상 길드 경험치를 누적할 수 없습니다.
MSI_MESSAGEWND_TITLE	메시지
MSI_SEND_TO_TWITTER_FAILED	트위터에 메세지 전송을 실패 했습니다.
MSI_KEYWORD_FILTER	영문 4자, 한글 2자 이상으로 입력해야 합니다.
MSI_DISABLE_TAMINGMONSTER_MAP	몬스터의 테이밍이 불가능한 지역입니다.
MSI_RANK_LOADING	순위를 가져오고 있습니다...
MSI_USESKILL_FAIL_NOT_PARTY_MASTER	해당 스킬은 파티장일때만 사용 가능합니다.
MSI_USESKILL_FAIL_ENSEMBLE_PARTYNER	파트너의 SP가 부족하거나, 스킬 사용 불가 상태입니다.
MSI_STORE_ASSISTANT_TRADE_FORCED_REMOVAL_TITLE	아르바이트 노점 강제 종료 알림메일
MSI_STORE_ASSISTANT_TRADE_FORCED_REMOVAL_CONTENT	안녕하세요. 운영팀입니다.\r\n해당 아르바이트 노점은 운영정책 위배되는 사항이 확인되어 강제 종료되었습니다.\r\n자세한 확인을 원하시는 경우에는 1:1 문의를 접수해 주시기 바랍니다.\r\n감사합니다
MSI_CAN_NOT_OFFER_EXP_LIMIT_RATE	50% 이상의 값을 입력할 수 없습니다.
MSI_CANNOT_CHANGE_PARTYMASTER	파티가 모험가 중개소에 등록되어, 파티장을 변경 할 수 없습니다.
MSI_CANNOT_REGISTER_PARTY	모험가 중개소에 파티를 등록할 수 없습니다
MSI_ACCEPT	수락
MSI_REFUSE	거절
MSI_ADVEN_HEALER	힐러
MSI_CANNOT_FIND_REQUEST_USER	해당 캐릭터를 찾을 수 없습니다.
MSI_STORE_ASSISTANT_TRADE_FORCED_REMOVAL	노점 강제 철거
MSI_CANNOT_FIND_PARTYMASTER	해당 파티의 파티장을 찾을 수 없습니다.
MSI_CANNOT_JOIN_PARTY_BECAUSE_LOW_LEVEL	잡레벨이 낮아 파티에 가입 할 수 없습니다.
MSI_INVALID_MAPPROPERTY_REQUEST_USER	현재 요청자가 파티가입이 불가능한 지역에 있습니다.
MSI_EXCEEDED_NUMBER_OF_PARTYMEMBERS	파티 인원수가 초과되었습니다.
MSI_JOIN_ACCEPT	%s 파티의 파티장이 파티 가입을 승인했습니다.
MSI_JOIN_REFUSE	%s 파티의 파티장이 파티 가입을 거부했습니다.
MSI_ALREADY_JOINED_REQUEST_USER	%s 님이 이미 파티에 가입 중입니다.
MSI_JOIN_ACCEPT_REQUEST_USER	%s 님의 파티 가입을 수락했습니다.
MSI_JOIN_REFUSE_REQUEST_USER	%s 님의 파티 가입을 거부했습니다.
MSI_REQUEST_REJECTED_BECAUSE_INVALID_MAPPROPERTY	파티 요청을 받을 수 없는 상태여서 %s님의 신청이 거절되었습니다.
MSI_ADVENTURER_AGENCY_LIST	모험가 중개소 리스트
MSI_REQUEST_JOIN_PARTY	파티 가입 요청
MSI_NOT_PARTYMASTER_CANNOT_REGISTER_ADVENTURER_AGENCY	파티장이 아닌 경우 모험가 중개소에 파티를 등록할 수 없습니다.
MSI_ADVENTURER_AGENCY_RECRUIT_STOP_FAILED	파티 모집을 중단할 수 없습니다.
MSI_ADVEN_ASSIST	보조
MSI_EXPAND_SIGHT_OPTIONWND	Zoom Out
MSI_EXPAND_SIGHT_HELP	%s : Zoom Out을 켜거나 끌수 있습니다 On Off
MSI_EXPAND_SIGHT_ON	Zoom Out 기능을 켭니다 (On)
MSI_EXPAND_SIGHT_OFF	Zoom Out 기능을 해제합니다 (Off)
MSI_EXPAND_SIGHT	/zoom
MSI_ADVENTURER_AGENCY	모험가 중개소
MSI_CANNOT_ASK_TO_JOIN_PARTY	파티장인 경우, 가입 요청을 할 수 없습니다.
MSI_CHECK_LEVEL_BEFORE_REGISTER_AGENCY	파티 가입 최대 레벨은 최소 레벨 설정보다 높아야 합니다.
MSI_CANNOT_MORE_SELECT_JOB	더 이상 직업을 선택할 수 없습니다.
MSI_D0_NOT_RECEIVE_THE_USER_REQUEST_TODAY	게임 중 해당 유저의 가입 요청을 받지 않습니다.(클라이언트 종료 전까지 유효)
MSI_PLEASE_REOPEN_LISTWND_AFTER_A_WHILE	잠시 후 다시 열어주시기 바랍니다.
MSI_BEFORE_SIEGE_BLOCKMOVE_TIME	공성시작 전 %d분 동안은 해당 기능을 이용하실 수 없습니다.
MSI_EXPAND_OBJALPHA	/viewclear
MSI_HALFALPHAOBJ_ON	건물 반 투명화 ON
MSI_HALFALPHAOBJ_OFF	건물 반 투명화 OFF
MSI_GRAPHIC_SETTING_OBJALPHA	건물 투명화
MSI_FAILED_PET_TO_EGG_CLOSE_RODEX	알로 되돌리기가 실패했습니다. 로덱스 작성창을 닫아주세요.
MSI_EMBLEM_FRAME	Emblem Frame
MSI_EMBLEM_FRAME_DRAW_ON	Emblem 테두리를 그려줍니다
MSI_EMBLEM_FRAME_DRAW_OFF	Emblem 테두리를 그려주지 않습니다
MSI_USESKILL_FAIL_NEED_EQUIPPED_WEAPONE	장착된 무기가 없습니다.
MSI_USESKILL_FAIL_EMPTY_SOUL_ENERGY	에너지 구체가 부족합니다.
MSI_ADDSKILL_FAIL_INCLUDE_SKILL_YOU_CANNOT_LEARN	배울 수 없는 스킬(%s)이 포함되어있습니다.
MSI_DRAW_EMBLEM_FRAME_ONOFF	/frame
MSI_USESKILL_FAIL_GC_WEAPONBLOCK_ON	웨폰 블로킹 발동후 제한시간 내에 사용가능한 스킬입니다.
MSI_REFUSE_LOGIN_AUTH	아이디혹은 패스워드가 잘못되었읍니다.
MSI_RUSSIA_PERSONALINFO_EXP	E X P : %.1f%% ( basic 100.0%% %s %.1f%%)
MSI_RUSSIA_PERSONALINFO_DROP	DROP  : %.1f%% ( basic 100.0%% %s %.1f%%)
MSI_RUSSIA_PERSONALINFO_DEATH	DEATH : %.1f%% ( basic 100.0%% %s %.1f%%)
MSI_RUSSIA_CHAR_NAME_RULES	영문이나 러시아어 단독으로만 사용이 가능합니다.
MSI_REFUSE_LOGIN_ACCESSTICKET	you must have an AccessTicket to login
MSI_ITEMSTORE_DOWNLOADING	창고를 불러오는 중입니다.
MSI_ITEMSTORE_NOW_LOADING	NOW LOADING..
MSI_RODEX_BUTTON_DELETE	삭제
MSI_RODEX_BUTTON_ANSWER	답장
MSI_RODEX_BUTTON_SEND	전송
MSI_RODEX_BUTTON_CONFIRM_ID	이름확인
MSI_RODEX_TAB_ADMIN	공지
MSI_RODEX_TAB_DEFAULT	일반
MSI_RODEX_TAB_RETURN	반송
MSI_RODEX_TAB_SEARCH	검색
MSI_FAILED_PET_AUTO_FEEDING_BY_ITEMACTION	펫 먹이주기에 실패했습니다. 먹이를 줄 수 없는 상태입니다.
MSI_FAILED_HOMUN_AUTO_FEEDING_BY_ITEMACTION	호문 먹이주기에 실패했습니다. 먹이를 줄 수 없는 상태입니다.
MSI_MSI_INVENTORY_TABNAME_4	화폐
MSI_BARTERITEM_NAME_COUNT	%s %d개
MSI_EXCHANGED_FAILED	교환에 실패하였습니다.
MSI_EXCHANGED_SUCCEEDED	교환이 잘 이루어졌습니다.
MSI_NO_ITEM_FOR_EXCHANGE	교환에 필요한 재화가 부족합니다.
MSI_ITEM_OUT_OF_STOCK	해당 아이템은 이미 판매되어 재고가 부족합니다.
MSI_DEAD	사망
MSI_PVP	PvP
MSI_INVENTORY_EXTEND_OF_BODYITEM	아이템 소지 확장
MSI_INVENTORY_EXTEND	^0000ff%s^000000을 소모하여, 아이템 최대 소지 종류수를 확장하시겠습니까? \n(^0000ff%d^000000)에서 (^0000ff%d^000000)로 확장됩니다.\n^ff0000※ 소모된 아이템 및 확장된 최대 소지 종류수는 되돌릴 수 없습니다.^000000
MSI_INVENTORY_EXTEND_FAILED	아이템 최대 소지 종류수 확장에 실패하였습니다.
MSI_INVENTORY_EXTEND_FAILED_ANOTHER_WORK	아이템 최대 소지 종류수 확장을 위해, 다른 작업을 종료하여 주시기 바랍니다.
MSI_INVENTORY_EXTEND_FAILED_NO_ITEM	아이템 최대 소지 종류수 확장에 필요한 아이템을 소지하고 있지 않습니다.
MSI_INVENTORY_EXTEND_FAILED_MAX_OVER	더 이상 아이템 최대 소지 종류수를 확장 할 수 없습니다.
MSI_INVENTORY_EXTEND_SUCCESS	아이템 최대 소지 종류수 확장에 성공하였습니다.
MSI_LIMIT_BUY_ITEM3	같은 아이템을 %d개 이상 가질 수 없습니다.
MSI_EXCEED_LIMITED_ITEMNUM	소지 한계량 초과로 구입이 불가능합니다.
MSI_BUY_ONE_AT_A_TIME	해당 아이템은 한 번에 한 개만 살 수 있습니다.
MSI_STAR_EMPEROR	성제
MSI_SOUL_REAPER	소울리퍼
MSI_SAVE_HOTKEY_TO_SERVER	설정한 내용은 정상 종료 시 서버에 저장됩니다.
MSI_TRANSLATE_CAPTURE_MONSTER	Capture Monster
MSI_TRANSLATE_MESSAGE	message
MSI_TRANSLATE_TITLE	TITLE
MSI_EXTEND_DAMAGE_RANGE	데미지 표기 확장
MSI_SHOW_NAME_OF_ENTERED_MAP	맵 이름 표기
MSI_SYSTEM_MSG_MERCHANTSHOP	시스템 메세지 : 현재 노점보기 기능이 %s 상태입니다. (/노점보기)
MSI_VSYNC	수직 동기
MSI_WEBSITE_LINK_BTN_TOOLTIP	자료
MSI_WEBSITE_LINK_ADDRESS	http://rodata.zhaouc.com/renwu.html
MSI_OUTSIDE_CASHSHOP_BTN_TOOLTIP	작위
MSI_LIMIT_FRAME	프레임 제한
MSI_USESKILL_FAIL_OVER_INSTALLATION	%d개를 초과할 경우 더 이상 설치 할 수 없습니다.
MSI_NAVIGATION_DESTINATION	목적지
MSI_EMBLEM_UPLOAD_FAILED_BUSY	잠시 후 다시 시도해주세요.
MSI_EMBLEM_REGIST_FAILED_INCORRECT_SIZE	등록할 수 없는 파일입니다.
MSI_RODEX_BUTTON_DELETE_SELECTED	선택 삭제
MSI_RODEX_BUTTON_DELETE_ALL	모두 삭제
MSI_RODEX_MESSAGE_DELETE_ALL	[%s]편지함의 모든 메일을 삭제하시겠습니까?
MSI_RODEX_BUTTON_RECEIVE_SELECTED	선택 받기
MSI_RODEX_BUTTON_RECEIVE_ALL	모두 받기
MSI_RODEX_MESSAGE_RECEIVE_SELECTED	선택한 메일의 첨부 물품을 받으시겠습니까?
MSI_RODEX_MESSAGE_RECEIVE_ALL	[%s]편지함의 모든 첨부 물품을 받으시겠습니까?
MSI_HOTKEYWND_SKILLBAR2	스킬바2
MSI_CHANGE_SKILLBER	스킬바 교체
MSI_HOTKEYGUIDEWND_LEFT	←
MSI_HOTKEYGUIDEWND_UP	↑
MSI_HOTKEYGUIDEWND_RIGHT	→
MSI_HOTKEYGUIDEWND_DOWN	↓
MSI_HOTKEYGUIDEWND_APPS	▤
MSI_HOTKEYGUIDEWND_BACK	←
MSI_WARNINGMSG_LOADING	로딩중에는 창을 닫을 수 없습니다.
MSI_USESKILL_FAIL_SPELLBOOK_NONE	리딩 스펠북으로 저장된 마법이 없습니다.
MSI_USE_WORLDMAP_WITH_PERIOD_MSG1	이동 시 사용한 아이템은 재교환이 불가능합니다.
MSI_USE_WORLDMAP_WITH_PERIOD_MSG2	자유이동권을 구매 하였습니다
MSI_USE_WORLDMAP_WITH_PERIOD_MSG3	자유이동권 사용 중, 관련 아이템을 소모하지 않습니다.
MSI_BTN_MESSAGE_APPLY	적용
MSI_BTN_MESSAGE_STOP	중지
MSI_USE_WORLDMAP_WITH_PERIOD_MSG4	자유이동권
MSI_USE_WORLDMAP_WITH_PERIOD_MSG5	%d시간 이용, %s %d개
MSI_USE_WORLDMAP_WITH_PERIOD_MSG6	자유이용권 사용중
MSI_ADVANCED_STATUS	특성 스테이터스
MSI_DESC_POW	파워 파라메터\n^cc0000물리 공격력, 특성 물리 공격력^ffffff 증가
MSI_DESC_STA	스테미나 파라메터\n^cc0000물리 저항력^ffffff 증가
MSI_DESC_WIS	위즈덤 파라메터\n^cc0000마법 저항력^ffffff 증가
MSI_DESC_SPL	스펠 파라메터\n^cc0000마법 공격력, 특성 마법 공격력^ffffff 증가
MSI_DESC_CON	컨센트레이션 파라메터\n^cc0000명중률, 회피율, 특성 물리/마법 공격력^ffffff 증가
MSI_DESC_CRT	크리에이티브 파라메터\n^cc0000특성 힐 회복량, 크리티컬 데미지 비율^ffffff 증가
MSI_DESC_ADV_STATUS_POWER_ATK	특성 물리 공격력
MSI_DESC_ADV_STATUS_SPELL_MATK	특성 마법 공격력
MSI_DESC_ADV_STATUS_STAMINA_RESIST	물리 저항력
MSI_DESC_ADV_STATUS_WISDOM_MRESIST	마법 저항력
MSI_DESC_ADV_STATUS_CREATIVE_HEALPULS	특성 힐 회복량
MSI_DESC_ADV_STATUS_CREATIVE_CRIDAMAGE_RATE	크리티컬 데미지 비율
MSI_DESC_ADV_POINT	특성 파라메터 레벨업에 사용되는 포인트
MSI_BASICINFO_JOBLEVEL2	J.Lv
MSI_BASICINFO_AP	AP
MSI_GUILD_AGIT_MOVE_AGIT	영지로 이동
MSI_GUILD_AGIT_INVESTMENT_INFO	상업도/방어도 확인
MSI_GUILD_AGIT_ARE_YOU_MOVE_AGIT	관리영지 \"%s\"(으)로 이동하시겠습니까?\n이동 시 마다 %d제니가 소모됩니다.\n(공성전 시간에는 %d제니가 소모됩니다.)
MSI_GUILD_AGIT_SHOW_INVESTMENT_INFO	\n관리영지 \"%s\"\n\t\n방어도: %d / %d\n상업도: %d / %d
MSI_GUILD_AGIT_MOVE_FAIL_MAP	공성 영지에서는 사용할 수 없는 기능입니다.
MSI_NOT_LEARN_BASIC_SKILL	기본 기능 스킬을 습득하지 않은 캐릭터입니다.
MSI_BAN_IP_BLOCK_FOR_ZERO	접속하신 IP는 라그나로크 제로 이용이 불가능합니다.\n고객센터 또는 홈페이지로 문의해 주십시오.
MSI_TOOLTIP_OF_OPTIONOFF_BTN	탑승/장착 해제
MSI_MCSTORE_BACKUP	가져오기
MSI_MCSTORE_BACKUP_TOOLTIP	직전 노점에 등록된 아이템 정보를 가져옵니다.
MSI_BAN_LOGIN_IS_RESTRICTED	서버 이슈로 인해 로그인이 제한되고 있습니다.
MSI_GUILD_AGIT_AGIT_MESSAGE	메시지
MSI_WARNING_UNDER_AGE_MSG1	+18 이상만 플레이가 가능합니다.
MSI_WARNING_UNDER_AGE_MSG2	3시간 이상의 게임 플레이를 권장하지 않습니다.
MSI_USESKILL_FAIL_AP_INSUFFICIENT	AP가 부족합니다.
MSI_LAPINE_FAIL_REFINING_LEVEL_OVERFLOW_NEEDED	제련도가 높아서 조합할 수 없습니다.
MSI_LAPINE_WARNING_REFINING_LEVEL_HIGHER_THAN_NEEDED	제련도가 조합에 필요한 요구치보다 높습니다.
MSI_LAPINE_WARNING_HAS_CARD_OR_ENCHANTED	카드가 끼워져있거나 인챈트 되어 있습니다.
MSI_ITEM_COUNT_INFINITY	∞
MSI_ITEMSHOP_CURRENCY	Z
MSI_PURCHASEWND_TOTAL	Total : %s Zeny
MSI_ACCOUNT_LIMITED_TOOL_TITLE	계정한정판매 등록창
MSI_ACCOUNT_LIMITED_DB_NAME	아이템 DB명
MSI_ACCOUNT_LIMITED_TOOL_DB_NUMBER	아이템 DB번호
MSI_ACCOUNT_LIMITED_TOOL_SELL_COUNT	판매 갯수
MSI_ACCOUNT_LIMITED_TOOL_SELL_STARTTIME	판매 시작시간
MSI_ACCOUNT_LIMITED_TOOL_SELL_ENDTIME	판매 종료시간
MSI_ACCOUNT_LIMITED_SALE_ITEM	계정 한정
MSI_ACCOUNT_LIMITED_SALE_ITEM_START_DATE	판매기간 : %d월 %d일 %d시 %d분
MSI_ACCOUNT_LIMITED_SALE_ITEM_NUM	계정당 구매가능
MSI_ACCOUNT_LIMITED_SALE_ITEM_LIMIT_NUM	%d개 한정
MSI_ACCOUNT_LIMITED_TOOL_RESULT_FORMAT	>> ItemName : %s /  수량 : %d / 판매기간 : %d월:%d일:%d시:%d분 ~ %d월:%d일:%d시:%d분
MSI_ACCOUNT_LIMITED_SALE_ITEM_SOLD_OUT	Sold Out
MSI_MAP_PROPERTY_DISABLE_CALLED	[%s]은(는) 현재 소환할 수 없는 지역에 있습니다.
MSI_ACCOUNT_LIMITED_SALE_ITEM_NEXT_DATE	~ %d월 %d일 %d시 %d분
MSI_ACCOUNT_LIMITED_SALE_ITEM_DONT_MOVE_CART	상품을 더이상 추가할 수 없습니다
MSI_CANNOT_EXCHANGE_ITEMS	장착 중인 아이템은 교환할 수 없습니다. 장착을 해제한 뒤 시도해 주시길 바랍니다.
MSI_QUIT_EXIT_AFTER_GUILD_CLOSE	길드 창고 이용 중엔 캐릭터 선택창으로 이동 할 수 없습니다.
MSI_HAVE_ITEMTAG	아이템 태그가 포함되어 있어 사용할 수 없습니다.
MSI_MONSTER_MONSTERINFO	Monster
MSI_UNKNOWN_MONSTERINFO	Unknown
MSI_UNDEAD_MONSTERINFO	Undead
MSI_ANIMAL_MONSTERINFO	Animal
MSI_PLANT_MONSTERINFO	Plant
MSI_INSECT_MONSTERINFO	Insect
MSI_MARINE_MONSTERINFO	Marine
MSI_DEVIL_MONSTERINFO	Devil
MSI_HUMAN_MONSTERINFO	Human
MSI_ANGEL_MONSTERINFO	Angel
MSI_DRAGON_MONSTERINFO	Dragon
MSI_NC_CASH_INNOVA	Balance: %s %c
MSI_BUY_RECONFIRM_CASHSTRINGFMT	 ^ff0000본 아이템을 구매 후 7일 이내에는 청약 철회가 가능합니다. 다만, 7일이 지났거나 아이템을 개봉하시면 청약 철회 대상에서 제외 됩니다.또한 구매시 사용된 무료캐시는 청약철회시 반환되지 않습니다.^000000 정말로 아이템을 구매하시겠습니까? 구매하실 경우 %s캐시가 차감됩니다.
MSI_BUY_RECONFIRM2_CASHSTRINGFMT	 ^ff0000본 아이템을 구매 후 7일 이내에는 청약 철회가 가능합니다. 다만, 7일이 지났거나 아이템을 개봉하시면 청약 철회 대상에서 제외 됩니다.또한 구매시 사용된 무료캐시는 청약철회시 반환되지 않습니다.^000000 정말로 아이템을 구매하시겠습니까? 구매하실 경우 일반 %s캐시, 무료 %s캐시가 차감됩니다.
MSI_CALL_REJECTED	호출이 거부되었습니다.
MSI_BUYINGSTORE_MAKEWND_LIMITZENY_NOT_OVER_MYMONEY	구매 한도액은 소지액을 초과할 수 없습니다.
MSI_BUYINGSTORE_MAKEWND_FAIL_CLOSE_UI	노점을 여는데 실패하였습니다. 구매노점 개설을 닫아주시기 바랍니다.
MSI_SAVE_SELL_STORE_ITEMLIST	판매 노점 아이템 리스트가 저장되었습니다.
MSI_SAVE_BUY_STORE_ITEMLIST	구매 노점 아이템 리스트가 저장되었습니다.
MSI_REFUSE_VTC_AUTH_FAILED	VTC 인증에 실패하였습니다.
MSI_EQUIP_FAIL_DURING_BARTER	물물교환 중에는 장비를 착용할 수 없습니다.
MSI_BARTER_ITEMLIST	교환하려는 품목
MSI_UPGRADESKILLERROR_MORE_THIRDJOBSKILL	 1차, 2차, 3차 직업 스킬 %d개를 더 올려 주십시오.
MSI_LIMIT_HAVE_ITEM_CNT	같은 아이템은 %d개까지 소유할 수 있습니다.
MSI_EXCHANGE_ITEM_CNT	같은 아이템은 한 번에 %d개까지 교환할 수 있습니다.
MSI_GLOBALRODEX_NOT_ABLE_TO_OPEN_MAIL_IN_CUR_SERVER	해당 로덱스는 \"%s\"서버에서 열 수 있습니다.
MSI_GLOBALRODEX_MESSAGE_DELETE_ALL_ON_ADMIN	[공지]편지함의 모든 메일을 삭제하시겠습니까 ? \n(해당 \"%s\"서버의 메일만 삭제됩니다.)
MSI_GLOBALRODEX_MESSAGE_RECEIVE_ALL	[공지]편지함의 모든 첨부 물품을 받으시겠습니까? \n(해당 \"%s\"서버의 메일의 물품만 받으실 수 있습니다.)
MSI_GLOBALRODEX_REFUSE_DELETING	해당 메일은 \"%s\"서버에서만 삭제 가능합니다.
MSI_GLOBALRODEX_REFUSE_RECEIVING	해당 메일은 \"%s\"서버에서만 물품 받기가 가능합니다.
MSI_GLOBALRODEX_REFUSE_READING	해당 메일은 \"%s\"서버에서만 내용읽기가 가능합니다.
MSI_TOTAL_NEED_MONEY	합계 : %d z
MSI_NORMAL_MESSAGEBOX_CAPTION	메세지
MSI_RESTRICT_OPENING_BUYINGSTORE_FAIL_OPEN_BUYINGSTORE	구매상점 개설 중에는 개인상점의 물건을 구입할 수 없습니다.
MSI_ITEM_GRADE_ENCHANT_SUCCEESS	등급강화가 성공적으로 되었습니다.
MSI_ITEM_GRADE_ENCHANT_FAIL	등급강화가 실패하였습니다.
MSI_ITEM_GRADE_ENCHANT_FAIL_DOWNGRADE	등급 수치가 하향 조정 되었습니다.
MSI_ITEM_GRADE_ENCHANT_FAIL_BREAK	장비가 파괴되었습니다.
MSI_ITEM_GRADE_ENCHANT_FAIL_PROTECT	장비가 보호되었습니다.
MSI_GRADE_ENCHANT_SOURCE_NOT_SELECT	재료가 선택되지 않았습니다.
MSI_GRADE_ENCHANT_SOURCE_ENOUGH	재료가 부족합니다.
MSI_GRADE_ENCHANT_MONEY_ENOUGH	소지 금액이 부족합니다.
MSI_GRADE_ENCHANT_INVENTORY_ENOUGH	아이템 공간이 부족합니다.
MSI_GRADE_ENCHANT_ITEM_PROTECT	장비가 보호되고 있습니다.
MSI_GRADE_ENCHANT_ITEM_NOT_PROTECT	장비가 파괴될 수 있습니다.
MSI_GRADE_ENCHANT_ITEM_DOWNGRADE	등급강화 실패 시 등급이 내려갑니다.
MSI_CLOSE_RODEX_FOR_GRADE_ENCHANT	등급강화 중에는 로덱스를 사용할 수 없습니다. 로덱스를 강제 종료하였습니다.
MSI_CANNOT_OPEN_RODEX_DURING_GRADE_ENCHANT	등급강화 중에는 로덱스를 사용할 수 없습니다.
MSI_CLOSE_BANKING_FOR_GRADE_ENCHANT	등급강화 중에는 은행을 사용할 수 없습니다. 은행을 강제 종료하였습니다.
MSI_CANNOT_OPEN_BANKING_DURING_GRADE_ENCHANT	등급강화 중에는 은행을 사용할 수 없습니다.
MSI_BROADCASTING_GRADE_ENCHANT_SUCCESS	[%s] 님이 등급강화를 성공하여, [%s등급 %s] 아이템을 획득하였습니다.
MSI_BROADCASTING_GRADE_ENCHANT_FAIL	[%s] 님이 [%s등급 %s] 아이템의 등급강화에 실패하였습니다.
MSI_CANNOT_GRADE_ENCHANT_ITEM	등급 강화가 불가능한 장비입니다.
MSI_CHANGE_MATERIAL	체인지 메테리얼
MSI_CHANGE_MATERIAL_SORT	가나다 정렬
MSI_CHANGE_MATERIAL_MESSAGE	※[%s] %d~%d개 제작
MSI_CHANGE_MATERIAL_SUCCESS_RATE	%d%%
MSI_MSG_IS_ILLEGAL_TAG_MSG	아이템 태그는 소지한 아이템만 태그할 수 있습니다.
MSI_IQ_POWERFUL_FAITH_ON	공격력 및 특성 공격력이 증가되었습니다.
MSI_IQ_POWERFUL_FAITH_OFF	강인한 신념 효과가 해제되었습니다.
MSI_IQ_FIRM_FAITH_ON	HP 및 물리 저항력이 증가되었습니다.
MSI_IQ_FIRM_FAITH_OFF	굳건한 신념 효과가 해제되었습니다.
MSI_IQ_SINCERE_FAITH_ON	공격 속도 및 유도 공격 확률이 증가되었습니다.
MSI_IQ_SINCERE_FAITH_OFF	신실한 신념 효과가 해제되었습니다.
MSI_CD_BENEDICTUM_ON	POW, CRT 및 CON 이 증가되었습니다.
MSI_CD_BENEDICTUM_OFF	베네딕툼 효과가 해제되었습니다.
MSI_CD_RELIGIO_ON	SPL, WIS 및 CRT 가 증가되었습니다.
MSI_CD_RELIGIO_OFF	렐리지오 효과가 해제되었습니다.
MSI_CD_COMPETENTIA_ON	특성 공격력 및 특성 마법 공격력이 증가되었습니다.
MSI_CD_COMPETENTIA_OFF	콤페텐티아 효과가 해제되었습니다.
MSI_CD_PRESENS_ACIES_ON	크리티컬 데미지 비율이 증가되었습니다.
MSI_CD_PRESENS_ACIES_OFF	프레센스 아치에스 효과가 해제되었습니다.
MSI_CD_ARGUTUS_TELUM_ON	물리 저항력 무시 효과가 부여되었습니다.
MSI_CD_ARGUTUS_TELUM_OFF	아르구투스 텔룸 효과가 해제되었습니다.
MSI_CD_ARGUTUS_VITA_ON	마법 저항력 무시 효과가 부여되었습니다.
MSI_CD_ARGUTUS_VITA_OFF	아르구투스 비타 효과가 해제되었습니다.
MSI_ITEMNUM_AND_WEIGHT	Num: %d/%d Weight: %d/%d
MSI_DK_SERVANTWEAPON_OFF	서번트 웨폰 효과가 해제되었습니다.
MSI_DK_CHARGINGPIERCE_OFF	챠징 피어스 효과가 해제되었습니다.
MSI_DK_VIGOR_OFF	비고르 효과가 해제되었습니다.
MSI_IG_ATTACK_STANCE_ON	공격력이 증가하고, 방어력이 감소되었습니다.
MSI_IG_ATTACK_STANCE_OFF	어택 스탠스 효과가 해제되었습니다.
MSI_IG_GUARD_STANCE_ON	방어력이 증가하고, 공격력이 감소되었습니다.
MSI_IG_GUARD_STANCE_OFF	가드 스탠스 효과가 해제되었습니다.
MSI_IG_GUARDIAN_SHIELD_ON	배리어가 부여되었습니다.
MSI_IG_GUARDIAN_SHIELD_OFF	가디언 쉴드 효과가 해제되었습니다.
MSI_IG_REBOUND_SHIELD_ON	헌신 효과로 받는 데미지가 감소되었습니다.
MSI_IG_REBOUND_SHIELD_OFF	리바운드 쉴드 효과가 해제되었습니다.
MSI_IG_HOLY_SHIELD_ON	성속성 마법 데미지와 암/불사속성 내성이 증가되었습니다. 
MSI_IG_HOLY_SHIELD_OFF	홀리 쉴드 효과가 해제되었습니다.
MSI_IG_ULTIMATE_SACRIFICE_ON	즉시 부활 효과가 부여되었습니다.
MSI_IG_ULTIMATE_SACRIFICE_OFF	얼티메이트 세크리파이스 효과가 해제되었습니다.
MSI_AG_CLIMAX_ON	특정 스킬의 효능이 변경되었습니다.
MSI_AG_CLIMAX_OFF	클라이막스 효과가 해제되었습니다.
MSI_SHC_SHADOW_EXCEED_ON	특정 스킬의 효능이 변경되었습니다.
MSI_SHC_SHADOW_EXCEED_OFF	쉐도우 익시드 효과가 해제되었습니다.
MSI_SHC_POTENT_VENOM_ON	물리 저항력 무시 효과가 부여되었습니다.
MSI_SHC_POTENT_VENOM_OFF	포텐트 베넘 효과가 해제되었습니다.
MSI_SHC_ENCHANTING_SHADOW_ON	매 공격 시, 일정 확률로 대상이 받는 데미지를 증가시킵니다.
MSI_SHC_ENCHANTING_SHADOW_OFF	인챈팅 쉐도우 효과가 해제되었습니다.
MSI_HUNTING_QUEST_INFO_ON	토벌 카운트 On
MSI_HUNTING_QUEST_INFO_OFF	토벌 카운트 Off
MSI_TARGET_AP_MAX	대상의 AP가 최대치입니다
